pregunta,respuesta_correcta,opciones/A,opciones/B,opciones/C,opciones/D,tema
"Según el Artículo 14, ¿qué significa la 'Disponibilidad' para un militar?",C,Estar localizable en todo momento.,Estar dispuesto a asumir nuevas responsabilidades.,Estar permanentemente preparado para el servicio y el cumplimiento de sus cometidos.,Tener tiempo libre para la formación continua.,1
El Artículo 17 menciona las virtudes y aptitudes del militar. ¿Cuáles son algunas de estas virtudes?,B,Paciencia y humildad.,"Disciplina, prontitud y obediencia.",Creatividad y originalidad.,Negociación y diplomacia.,1
"¿Qué se entiende por 'Honor' en el contexto militar según las Reales Ordenanzas (mencionado en varios artículos, como el 1 y 14)?",B,Recibir condecoraciones.,Un valor fundamental que guía la conducta del militar.,Ascender de rango rápidamente.,Ser reconocido por la sociedad.,1
El Artículo 1 describe el objeto de las Reales Ordenanzas. ¿Qué más definen aparte del código de conducta?,B,Los procedimientos operativos.,Los principios rectores y las normas de comportamiento.,La logística y el abastecimiento.,Las relaciones con ejércitos extranjeros.,1
"Según el Artículo 13, ¿qué tipo de igualdad deben valorar las autoridades competentes?",B,Igualdad salarial.,Igualdad de género.,Igualdad de oportunidades en el ascenso.,Igualdad ante la ley.,1
El Artículo 5 describe la actuación del militar como servidor público. ¿Qué principio se destaca en relación con la responsabilidad?,C,Responsabilidad limitada.,Responsabilidad compartida.,Responsabilidad individual.,Responsabilidad colectiva.,1
¿Qué deben evitar los militares en su conducta según el Artículo 52?,B,Hablar en público.,Proyectar una imagen inadecuada o descuidada.,Utilizar uniformes.,Relacionarse con civiles.,1
"Según el Artículo 72, ¿qué se logra fomentando el espíritu de equipo y la cohesión?",C,Aumentar la moral.,Mejorar la comunicación.,Alcanzar el máximo rendimiento.,Reducir los conflictos.,1
El Artículo 73 aborda la convivencia en unidad. ¿Qué aspecto de la diversidad se menciona específicamente?,B,Diversidad de opiniones políticas.,Diversidad de orígenes y creencias.,Diversidad de habilidades.,Diversidad geográfica.,1
"Según el Artículo 101, ¿cómo deben ejecutar la misión encomendada en relación con la competencia profesional?",B,Basándose en la experiencia.,Utilizando su competencia profesional para lograr la máxima eficacia.,Siguiendo las instrucciones al pie de la letra.,Adaptando la misión a sus capacidades.,1
El Artículo 103 trata sobre el apoyo a las Fuerzas y Cuerpos de Seguridad. ¿Quiénes prestan este apoyo?,B,El Ejército de Tierra exclusivamente.,Todos los miembros de las Fuerzas Armadas.,Unidades especializadas de las Fuerzas Armadas.,El personal en situación de reserva.,1
¿Qué principio rector guía la actuación de los miembros de las Fuerzas Armadas según el Artículo 1?,C,El principio de eficiencia.,El principio de jerarquía.,Los principios rectores definidos en las Reales Ordenanzas.,El principio de adaptabilidad.,1
"Según el Artículo 3, la disposición permanente para defender a España incluye la entrega de la vida. ¿Dónde se establece esta obligación?",C,En el Código Penal Militar.,En la Ley 39/2007.,En las Reales Ordenanzas.,En la Constitución.,1
El Artículo 4 menciona los deberes de carácter general. ¿Qué deberá guardar y hará guardar el militar?,B,El secreto profesional.,La Constitución y la ley como norma fundamental del Estado.,Las tradiciones militares.,El honor de la profesión.,1
"Según el Artículo 5, ¿qué debe garantizar el militar en su actuación como servidor público en relación con la imparcialidad?",B,"Tratar a todos por igual, independientemente de su rango.",Actuar sin favoritismos ni discriminaciones.,Priorizar los intereses de la institución.,Tomar decisiones basadas en datos objetivos.,1
El Artículo 12 se refiere a los derechos fundamentales y libertades públicas. ¿Qué debe hacer el militar en su actuación?,B,Limitar el ejercicio de estos derechos en el servicio.,Respetar y hará respetar estos derechos y libertades.,Priorizar el cumplimiento del deber sobre los derechos individuales.,Denunciar cualquier violación de estos derechos.,1
"Según el Artículo 13, ¿qué deben valorar las autoridades competentes para que la igualdad efectiva de mujeres y hombres sea real?",B,Las políticas de personal.,La aplicación de los criterios y normas de comportamiento.,La formación en igualdad de género.,Los resultados de las misiones.,1
El Artículo 14 destaca la dedicación a la profesión militar. ¿Qué debe sentir el militar al servir a España?,B,Orgullo y ambición.,Honor y la íntima satisfacción del deber cumplido.,Competitividad y superación.,Compromiso y sacrificio.,1
"Según el Artículo 20, la disponibilidad permanente implica estar listo para el servicio. ¿Qué más implica?",B,Estar dispuesto a viajar en cualquier momento.,"Cumplir sus cometidos, incluso en días festivos.",Trabajar horas extras sin compensación.,Abandonar su vida personal.,1
